timestamp,action,side,price,pnl,quantity
2026-08-20 20:04:56,enter,bear,,,1
2026-08-20 23:04:11,exiting,bear,44938.0,,1
2026-08-20 23:04:11,enter,bull,44938.0,,1
2026-08-21 15:01:46,exiting,bull,45206.0,2680.0,1
2026-08-21 15:01:46,enter,bear,45206.0,,1
2026-08-24 19:38:13,exiting,bear,44951.0,2550.0,1
2026-08-24 19:38:13,enter,bull,44951.0,,1
2026-08-24 21:43:11,exiting,bull,44476.0,-4750.0,1
2026-08-24 21:43:11,enter,bear,44476.0,,1
2026-08-25 11:33:28,exiting,bear,44559.0,-830.0,1
2026-08-25 11:33:28,enter,bull,44559.0,,1
