timestamp,action,side,price,note,signal,trend,tx_bvav,mtx_bvav,mtx_bvav_avg,bbr
2026-05-06 09:54:00,enter,bear,41325.0,空單進場：價格 41325.0，前一根收盤 41401.0，TT短線=41701.5382460166，TT長線=41685.6742001996，MXF訊號=bear，MXF趨勢=death,bear,death,-779,-1267,379,0.4978660128
2026-05-06 09:55:00,exit,bear,41305.0,空單出場：價格 41305.0，進場價 41325.0，持有至 2026-05-06 09:54:01，出場原因：停利，TT短線=41685.9877265649，TT長線=41678.1360972254，MXF訊號=bear，MXF趨勢=death,bear,death,-820,-1549,157,0.4750521368
2026-05-06 10:01:01,enter,bear,41326.0,空單進場：價格 41326.0，前一根收盤 41402.0，TT短線=41619.9512272971，TT長線=41644.0207185322，MXF訊號=bear，MXF趨勢=death,bear,death,-538,-1406,-499,0.4960304817
2026-05-06 10:02:00,exit,bear,41295.0,空單出場：價格 41295.0，進場價 41326.0，持有至 2026-05-06 10:01:01，出場原因：停利，TT短線=41607.2080419129，TT長線=41637.1094171752，MXF訊號=bear，MXF趨勢=death,bear,death,-538,-1406,-499,0.4606125384
2026-05-06 10:04:00,enter,bear,41261.0,空單進場：價格 41261.0，前一根收盤 41331.0，TT短線=41583.2243401126，TT長線=41623.7201644676，MXF訊號=bear，MXF趨勢=death,bear,death,-534,-1608,-720,0.4213507559
2026-05-06 10:05:01,exit,bear,41220.0,空單出場：價格 41220.0，進場價 41261.0，持有至 2026-05-06 10:04:01，出場原因：停利，TT短線=41568.9802483435，TT長線=41615.7257057653，MXF訊號=bear，MXF趨勢=death,bear,death,-307,-1412,-940,0.3745229282
2026-05-06 10:06:00,enter,bear,41190.0,空單進場：價格 41190.0，前一根收盤 41220.0，TT短線=41554.1182778202，TT長線=41607.2954937699，MXF訊號=bear，MXF趨勢=death,bear,death,-307,-1412,-940,0.3401442722
2026-05-06 10:07:00,exit,bear,41059.0,空單出場：價格 41059.0，進場價 41190.0，持有至 2026-05-06 10:06:01，出場原因：停利，TT短線=41534.7018747684，TT長線=41596.4381572596，MXF訊號=bear，MXF趨勢=death,bear,death,-685,-2126,-1176,0.1911756541
2026-05-06 10:30:58,enter,bear,41230.0,空單進場：價格 41230.0，前一根收盤 41298.0，TT短線=41410.8847861814，TT長線=41497.1950853621，MXF訊號=bear，MXF趨勢=death,bear,death,-508,-1687,-1494,0.3739514063
2026-05-06 10:31:58,exit,bear,41320.0,空單出場：價格 41320.0，進場價 41230.0，持有至 2026-05-06 10:30:59，出場原因：停損，TT短線=41407.3206769194，TT長線=41493.6862717906，MXF訊號=bear，MXF趨勢=death,bear,death,-637,-1801,-1497,0.4781515853
2026-05-06 10:32:58,enter,bear,41266.0,空單進場：價格 41266.0，前一根收盤 41320.0，TT短線=41401.7786895892，TT長線=41489.1776327453，MXF訊號=bear，MXF趨勢=death,bear,death,-459,-1534,-1503,0.4147628034
2026-05-06 10:33:58,exit,bear,41326.0,空單出場：價格 41326.0，進場價 41266.0，持有至 2026-05-06 10:32:58，出場原因：停損，TT短線=41398.806976272，TT長線=41485.9463924929，MXF訊號=bear，MXF趨勢=death,bear,death,-549,-1711,-1528,0.484306508
2026-05-06 10:41:58,enter,bear,41206.0,空單進場：價格 41206.0，前一根收盤 41228.0，TT短線=41361.8258424576，TT長線=41453.354273802，MXF訊號=bear，MXF趨勢=death,bear,death,-597,-1830,-1620,0.3396580018
2026-05-06 10:42:58,exit,bear,41170.0,空單出場：價格 41170.0，進場價 41206.0，持有至 2026-05-06 10:41:59，出場原因：停利，TT短線=41354.3032604004，TT長線=41447.7432980831，MXF訊號=bear，MXF趨勢=death,bear,death,-772,-2081,-1646,0.2967733131
2026-05-06 10:43:58,enter,bear,41149.0,空單進場：價格 41149.0，前一根收盤 41170.0，TT短線=41346.2521521494，TT長線=41441.8275892102，MXF訊號=bear，MXF趨勢=death,bear,death,-630,-1855,-1674,0.2716216137
2026-05-06 10:44:59,exit,bear,41184.0,空單出場：價格 41184.0，進場價 41149.0，持有至 2026-05-06 10:43:59，出場原因：停損，TT短線=41339.8893226534，TT長線=41436.7220923941，MXF訊號=bear，MXF趨勢=death,bear,death,-776,-2061,-1690,0.3126905786
