timestamp,action,side,price,note,reference_side,reference_entry_price,reference_close,reference_pnl,ma_n200,ma_p200
2026-05-05 00:08:02,enter,bull,40633.0,"enter bull at 40633.0, reason=near, latest_h_entry=38308.0, latest_h_pnl=2325.0, ref_side=bull, ma_n200=40609.059375, ma_p200=41009.059375",bull,38308.0,40633.0,2325.0,40609.059375,41009.059375
2026-05-05 00:15:08,exit,bull,40611.0,"exit bull at 40611.0, entry=40633.0, since=2026-05-05 00:08:02, reason=stop loss, latest_h_side=bull, latest_h_entry=38308.0, ref_pnl=2303.0, ma_n200=40612.6041666667, ma_p200=41012.6041666667",bull,38308.0,40611.0,2303.0,40612.6041666667,41012.6041666667
2026-05-05 00:16:02,enter,bull,40614.0,"enter bull at 40614.0, reason=cross, latest_h_entry=38308.0, latest_h_pnl=2306.0, ref_side=bull, ma_n200=40613.1135416667, ma_p200=41013.1135416667",bull,38308.0,40614.0,2306.0,40613.1135416667,41013.1135416667
2026-05-05 02:53:02,exit,bull,40700.0,"exit bull at 40700.0, entry=40614.0, since=2026-05-05 00:16:02, reason=stop loss, latest_h_side=bull, latest_h_entry=38308.0, ref_pnl=2392.0, ma_n200=40701.2395833333, ma_p200=41101.2395833333",bull,38308.0,40700.0,2392.0,40701.2395833333,41101.2395833333
2026-05-05 02:55:04,enter,bull,40703.0,"enter bull at 40703.0, reason=cross, latest_h_entry=38308.0, latest_h_pnl=2395.0, ref_side=bull, ma_n200=40701.7614583333, ma_p200=41101.7614583333",bull,38308.0,40703.0,2395.0,40701.7614583333,41101.7614583333
2026-05-05 15:51:01,exit,bull,41075.0,"exit bull at 41075.0, entry=40703.0, since=2026-05-05 02:55:04, reason=take profit, latest_h_side=bull, latest_h_entry=38308.0, ref_pnl=2767.0, ma_n200=40689.1854166667, ma_p200=41089.1854166667",bull,38308.0,41075.0,2767.0,40689.1854166667,41089.1854166667
2026-05-07 09:03:01,enter,bear,42044.0,空單進場：價格 42044.0，原因：貼線確認，最新H單進場價=42233.0，最新H單浮盈虧=189.0，參考方向=bear，MA_N200=41652.8208333333，MA_P200=42052.8208333333,bear,42233.0,42044.0,189.0,41652.8208333333,42052.8208333333
2026-05-07 09:05:01,exit,bear,42086.0,空單出場：價格 42086.0，進場價 42044.0，持有至 2026-05-07 09:03:01，出場原因：停損，最新H方向=bear，最新H單進場價=42233.0，最新H單浮盈虧=147.0，MA_N200=41654.3541666667，MA_P200=42054.3541666667,bear,42233.0,42086.0,147.0,41654.3541666667,42054.3541666667
2026-05-07 09:07:01,enter,bear,42017.0,空單進場：價格 42017.0，原因：影線測試確認，最新H單進場價=42233.0，最新H單浮盈虧=216.0，參考方向=bear，MA_N200=41655.846875，MA_P200=42055.846875,bear,42233.0,42017.0,216.0,41655.846875,42055.846875
2026-05-07 09:08:01,exit,bear,42106.0,空單出場：價格 42106.0，進場價 42017.0，持有至 2026-05-07 09:07:01，出場原因：停損，最新H方向=bear，最新H單進場價=42233.0，最新H單浮盈虧=127.0，MA_N200=41656.6447916667，MA_P200=42056.6447916667,bear,42233.0,42106.0,127.0,41656.6447916667,42056.6447916667
2026-05-08 21:43:01,enter,bear,42076.0,空單進場：價格 42076.0，原因：貼線確認，最新H單進場價=42233.0，最新H單浮盈虧=157.0，參考方向=bear，MA_N200=41697.8395833333，MA_P200=42097.8395833333,bear,42233.0,42076.0,157.0,41697.8395833333,42097.8395833333
2026-05-08 21:46:02,exit,bear,42121.0,空單出場：價格 42121.0，進場價 42076.0，持有至 2026-05-08 21:43:01，出場原因：停損，最新H方向=bear，最新H單進場價=41440.0，最新H單浮盈虧=-681.0，MA_N200=41698.3333333333，MA_P200=42098.3333333333,bear,41440.0,42121.0,-681.0,41698.3333333333,42098.3333333333
