timestamp,strategy,result,signal_action,order_action,side,quantity,contract_code,h_position_timestamp,h_side,h_entry_price,h_unrealized_points,signal_reason,broker_status,broker_order_id,broker_message,broker_trade,error
2026-06-05 02:03:05,h_reverse_loss_guard,sent,exit,sell,bull,2,TMFR2,2026-06-05 02:02:04,bull,46477.0,-2.0,H 主單已出場/反向/換倉，175點遠月鎖損同步出場,Status.Inactive,,,"""contract=Future(code='TMFG6', symbol='TMF202607', name='微型臺指期貨07', category='TMF', delivery_month='202607', delivery_date='2026/07/15', underlying_kind='I', unit=1, limit_up=51001.0, limit_down=41729.0, reference=46365.0, update_date='2026/06/04') order=Order(action=<Action.Sell: 'Sell'>, price=0, quantity=2, account=FutureAccount(person_id='H124353542', broker_id='F002000', account_id='3236152', signed=True, username='劉冠廷'), price_type=<FuturesPriceType.MKT: 'MKT'>, order_type=<OrderType.IOC: 'IOC'>) status=OrderStatus(status=<Status.Inactive: 'Inactive'>)""",
2026-06-05 04:20:04,h_reverse_loss_guard,skipped_existing_position,enter,,bear,2,TMFR2,2026-06-05 02:02:04,bull,46477.0,-176.0,H 浮虧達 176.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場,,,,,
2026-06-05 04:26:12,h_reverse_loss_guard,skipped_existing_position,enter,,bear,2,TMFR2,2026-06-05 02:02:04,bull,46477.0,-190.0,H 浮虧達 190.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場,,,,,
2026-06-05 04:30:03,h_reverse_loss_guard,skipped_existing_position,enter,,bear,2,TMFR2,2026-06-05 02:02:04,bull,46477.0,-177.0,H 浮虧達 177.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場,,,,,
2026-06-05 04:36:06,h_reverse_loss_guard,skipped_existing_position,enter,,bear,2,TMFR2,2026-06-05 02:02:04,bull,46477.0,-176.0,H 浮虧達 176.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場,,,,,
2026-06-05 04:48:05,h_reverse_loss_guard,skipped_existing_position,enter,,bear,2,TMFR2,2026-06-05 02:02:04,bull,46477.0,-187.0,H 浮虧達 187.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場,,,,,
2026-06-10 19:15:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-876.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:16:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-854.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:17:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-900.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:18:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-920.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:19:03,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-959.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:20:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-961.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:21:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-941.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:22:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-899.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:23:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-816.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:24:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-823.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:25:06,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-888.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:26:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1005.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
